CROP TYPE,SOIL TYPE,REGION,WEATHER CONDITION,TEMP_MIN,TEMP_MAX,WATER REQUIREMENT
POTATO,HUMID,SEMI HUMID,NORMAL,30,40,6.5
POTATO,HUMID,SEMI HUMID,SUNNY,30,40,8.0
POTATO,HUMID,SEMI HUMID,WINDY,30,40,7.5
POTATO,HUMID,SEMI HUMID,RAINY,30,40,0.5
POTATO,HUMID,SEMI HUMID,NORMAL,40,50,7.5
POTATO,HUMID,SEMI HUMID,SUNNY,40,50,9.0
POTATO,HUMID,SEMI HUMID,WINDY,40,50,8.5
POTATO,HUMID,SEMI HUMID,RAINY,40,50,0.8
POTATO,HUMID,HUMID,NORMAL,10,20,3.65
POTATO,HUMID,HUMID,SUNNY,10,20,5.15
POTATO,HUMID,HUMID,WINDY,10,20,4.65
POTATO,HUMID,HUMID,RAINY,10,20,0.1
POTATO,HUMID,HUMID,NORMAL,20,30,4.65
POTATO,HUMID,HUMID,SUNNY,20,30,6.15
POTATO,HUMID,HUMID,WINDY,20,30,5.65
POTATO,HUMID,HUMID,RAINY,20,30,0.2
POTATO,HUMID,HUMID,NORMAL,30,40,5.0
POTATO,HUMID,HUMID,SUNNY,30,40,6.5
POTATO,HUMID,HUMID,WINDY,30,40,6.0
POTATO,HUMID,HUMID,RAINY,30,40,0.3
POTATO,HUMID,HUMID,NORMAL,40,50,5.15
POTATO,HUMID,HUMID,SUNNY,40,50,6.95
POTATO,HUMID,HUMID,WINDY,40,50,6.15
POTATO,HUMID,HUMID,RAINY,40,50,0.3
POTATO,WET,DESERT,NORMAL,10,20,5.15
POTATO,WET,DESERT,SUNNY,10,20,6.95
POTATO,WET,DESERT,WINDY,10,20,6.15
POTATO,WET,DESERT,RAINY,10,20,0.3
POTATO,WET,DESERT,NORMAL,20,30,6.15
POTATO,WET,DESERT,SUNNY,20,30,7.65
POTATO,WET,DESERT,WINDY,20,30,7.15
POTATO,WET,DESERT,RAINY,20,30,0.5
POTATO,WET,DESERT,NORMAL,30,40,7.15
POTATO,WET,DESERT,SUNNY,30,40,8.65
POTATO,WET,DESERT,WINDY,30,40,8.15
POTATO,WET,DESERT,RAINY,30,40,0.8
POTATO,WET,DESERT,NORMAL,40,50,8.15
POTATO,WET,DESERT,SUNNY,40,50,9.65
POTATO,WET,DESERT,WINDY,40,50,9.15
POTATO,WET,DESERT,RAINY,40,50,0.15
POTATO,WET,SEMI ARID,NORMAL,10,20,4.37
POTATO,WET,SEMI ARID,SUNNY,10,20,5.87
POTATO,WET,SEMI ARID,WINDY,10,20,5.37
POTATO,WET,SEMI ARID,RAINY,10,20,0.2
POTATO,WET,SEMI ARID,NORMAL,20,30,5.3
POTATO,WET,SEMI ARID,SUNNY,20,30,6.8
POTATO,WET,SEMI ARID,WINDY,20,30,6.3
POTATO,WET,SEMI ARID,RAINY,20,30,0.3
POTATO,WET,SEMI ARID,NORMAL,30,40,6.3
POTATO,WET,SEMI ARID,SUNNY,30,40,7.8
POTATO,WET,SEMI ARID,WINDY,30,40,7.3
POTATO,WET,SEMI ARID,RAINY,30,40,0.5
POTATO,WET,SEMI ARID,NORMAL,40,50,7.2
POTATO,WET,SEMI ARID,SUNNY,40,50,8.7
POTATO,WET,SEMI ARID,WINDY,40,50,8.2
POTATO,WET,SEMI ARID,RAINY,40,50,0.8
POTATO,WET,SEMI HUMID,NORMAL,10,20,3.345
POTATO,WET,SEMI HUMID,SUNNY,10,20,4.845
POTATO,WET,SEMI HUMID,WINDY,10,20,4.345
POTATO,WET,SEMI HUMID,RAINY,10,20,0.1
POTATO,WET,SEMI HUMID,NORMAL,20,30,4.4
POTATO,WET,SEMI HUMID,SUNNY,20,30,5.9
POTATO,WET,SEMI HUMID,WINDY,20,30,5.4
POTATO,WET,SEMI HUMID,RAINY,20,30,0.2
POTATO,WET,SEMI HUMID,NORMAL,30,40,5.54
POTATO,WET,SEMI HUMID,SUNNY,30,40,7.04
POTATO,WET,SEMI HUMID,WINDY,30,40,6.54
POTATO,WET,SEMI HUMID,RAINY,30,40,0.3
POTATO,WET,SEMI HUMID,NORMAL,40,50,6.52
POTATO,WET,SEMI HUMID,SUNNY,40,50,8.02
POTATO,WET,SEMI HUMID,WINDY,40,50,7.52
POTATO,WET,SEMI HUMID,RAINY,40,50,0.5
POTATO,WET,HUMID,NORMAL,10,20,2.06
POTATO,WET,HUMID,SUNNY,10,20,3.56
POTATO,WET,HUMID,WINDY,10,20,3.06
POTATO,WET,HUMID,RAINY,10,20,0.1
POTATO,WET,HUMID,NORMAL,20,30,3.0
POTATO,WET,HUMID,SUNNY,20,30,4.5
POTATO,WET,HUMID,WINDY,20,30,4.0
POTATO,WET,HUMID,RAINY,20,30,0.1
POTATO,WET,HUMID,NORMAL,30,40,4.1
POTATO,WET,HUMID,SUNNY,30,40,5.6
POTATO,WET,HUMID,WINDY,30,40,5.1
POTATO,WET,HUMID,RAINY,30,40,0.2
POTATO,WET,HUMID,NORMAL,40,50,5.15
POTATO,WET,HUMID,SUNNY,40,50,6.65
POTATO,WET,HUMID,WINDY,40,50,6.15
POTATO,WET,HUMID,RAINY,40,50,0.3
WHEAT,DRY,DESERT,NORMAL,10,20,10.54
WHEAT,DRY,DESERT,SUNNY,10,20,12.0
WHEAT,DRY,DESERT,WINDY,10,20,11.54
WHEAT,DRY,DESERT,RAINY,10,20,2.54
WHEAT,DRY,DESERT,NORMAL,20,30,11.5
WHEAT,DRY,DESERT,SUNNY,20,30,13.0
WHEAT,DRY,DESERT,WINDY,20,30,12.5
WHEAT,DRY,DESERT,RAINY,20,30,3.5
WHEAT,DRY,DESERT,NORMAL,30,40,12.4
WHEAT,DRY,DESERT,SUNNY,30,40,14.0
WHEAT,DRY,DESERT,WINDY,30,40,13.4
WHEAT,DRY,DESERT,RAINY,30,40,4.4
WHEAT,DRY,DESERT,NORMAL,40,50,13.6
WHEAT,DRY,DESERT,SUNNY,40,50,15.0
WHEAT,DRY,DESERT,WINDY,40,50,14.6
WHEAT,DRY,DESERT,RAINY,40,50,5.6
WHEAT,DRY,SEMI ARID,NORMAL,10,20,9.6
WHEAT,DRY,SEMI ARID,SUNNY,10,20,11.0
WHEAT,DRY,SEMI ARID,WINDY,10,20,10.6
WHEAT,DRY,SEMI ARID,RAINY,10,20,1.6
WHEAT,DRY,SEMI ARID,NORMAL,20,30,10.7
WHEAT,DRY,SEMI ARID,SUNNY,20,30,12.2
WHEAT,DRY,SEMI ARID,WINDY,20,30,11.7
WHEAT,DRY,SEMI ARID,RAINY,20,30,2.7
WHEAT,DRY,SEMI ARID,NORMAL,30,40,11.6
WHEAT,DRY,SEMI ARID,SUNNY,30,40,13.1
WHEAT,DRY,SEMI ARID,WINDY,30,40,12.6
WHEAT,DRY,SEMI ARID,RAINY,30,40,3.6
WHEAT,DRY,SEMI ARID,NORMAL,40,50,12.5
WHEAT,DRY,SEMI ARID,SUNNY,40,50,14.0
WHEAT,DRY,SEMI ARID,WINDY,40,50,13.5
WHEAT,DRY,SEMI ARID,RAINY,40,50,4.5
WHEAT,DRY,SEMI HUMID,NORMAL,10,20,8.4
WHEAT,DRY,SEMI HUMID,SUNNY,10,20,9.9
WHEAT,DRY,SEMI HUMID,WINDY,10,20,9.4
WHEAT,DRY,SEMI HUMID,RAINY,10,20,0.4
WHEAT,DRY,SEMI HUMID,NORMAL,20,30,9.5
WHEAT,DRY,SEMI HUMID,SUNNY,20,30,11.0
WHEAT,DRY,SEMI HUMID,WINDY,20,30,10.5
WHEAT,DRY,SEMI HUMID,RAINY,20,30,1.5
WHEAT,DRY,SEMI HUMID,NORMAL,30,40,10.4
WHEAT,DRY,SEMI HUMID,SUNNY,30,40,11.9
WHEAT,DRY,SEMI HUMID,WINDY,30,40,11.4
WHEAT,DRY,SEMI HUMID,RAINY,30,40,2.4
WHEAT,DRY,SEMI HUMID,NORMAL,40,50,11.35
WHEAT,DRY,SEMI HUMID,SUNNY,40,50,12.85
WHEAT,DRY,SEMI HUMID,WINDY,40,50,12.35
WHEAT,DRY,SEMI HUMID,RAINY,40,50,3.3
WHEAT,DRY,HUMID,NORMAL,10,20,6.9
WHEAT,DRY,HUMID,SUNNY,10,20,8.4
WHEAT,DRY,HUMID,WINDY,10,20,7.9
WHEAT,DRY,HUMID,RAINY,10,20,0.5
WHEAT,DRY,HUMID,NORMAL,20,30,7.82
WHEAT,DRY,HUMID,SUNNY,20,30,9.32
WHEAT,DRY,HUMID,WINDY,20,30,8.82
WHEAT,DRY,HUMID,RAINY,20,30,0.8
WHEAT,DRY,HUMID,NORMAL,30,40,8.85
WHEAT,DRY,HUMID,SUNNY,30,40,10.35
WHEAT,DRY,HUMID,WINDY,30,40,9.85
WHEAT,DRY,HUMID,RAINY,30,40,0.85
WHEAT,DRY,HUMID,NORMAL,40,50,9.7
WHEAT,DRY,HUMID,SUNNY,40,50,11.2
WHEAT,DRY,HUMID,WINDY,40,50,10.7
WHEAT,DRY,HUMID,RAINY,40,50,1.7
WHEAT,HUMID,DESERT,NORMAL,10,20,8.06
WHEAT,HUMID,DESERT,SUNNY,10,20,9.56
WHEAT,HUMID,DESERT,WINDY,10,20,9.0
WHEAT,HUMID,DESERT,RAINY,10,20,0.1
WHEAT,HUMID,DESERT,NORMAL,20,30,9.1
WHEAT,HUMID,DESERT,SUNNY,20,30,10.6
WHEAT,HUMID,DESERT,WINDY,20,30,10.1
WHEAT,HUMID,DESERT,RAINY,20,30,1.1
WHEAT,HUMID,DESERT,NORMAL,30,40,10.25
WHEAT,HUMID,DESERT,SUNNY,30,40,11.75
WHEAT,HUMID,DESERT,WINDY,30,40,11.25
WHEAT,HUMID,DESERT,RAINY,30,40,2.25
WHEAT,HUMID,DESERT,NORMAL,40,50,11.1
WHEAT,HUMID,DESERT,SUNNY,40,50,12.6
WHEAT,HUMID,DESERT,WINDY,40,50,12.1
WHEAT,HUMID,DESERT,RAINY,40,50,3.1
WHEAT,HUMID,SEMI ARID,NORMAL,10,20,7.15
WHEAT,HUMID,SEMI ARID,SUNNY,10,20,8.65
WHEAT,HUMID,SEMI ARID,WINDY,10,20,8.15
WHEAT,HUMID,SEMI ARID,RAINY,10,20,0.8
WHEAT,HUMID,SEMI ARID,NORMAL,20,30,8.1
WHEAT,HUMID,SEMI ARID,SUNNY,20,30,9.6
WHEAT,HUMID,SEMI ARID,WINDY,20,30,9.1
WHEAT,HUMID,SEMI ARID,RAINY,20,30,0.1
WHEAT,HUMID,SEMI ARID,NORMAL,30,40,9.2
WHEAT,HUMID,SEMI ARID,SUNNY,30,40,10.7
WHEAT,HUMID,SEMI ARID,WINDY,30,40,10.2
WHEAT,HUMID,SEMI ARID,RAINY,30,40,1.2
WHEAT,HUMID,SEMI ARID,NORMAL,40,50,10.1
WHEAT,HUMID,SEMI ARID,SUNNY,40,50,11.6
WHEAT,HUMID,SEMI ARID,WINDY,40,50,11.1
WHEAT,HUMID,SEMI ARID,RAINY,40,50,2.1
WHEAT,HUMID,SEMI HUMID,NORMAL,10,20,5.88
WHEAT,HUMID,SEMI HUMID,SUNNY,10,20,7.38
WHEAT,HUMID,SEMI HUMID,WINDY,10,20,6.88
WHEAT,HUMID,SEMI HUMID,RAINY,10,20,0.3
WHEAT,HUMID,SEMI HUMID,NORMAL,20,30,6.8
WHEAT,HUMID,SEMI HUMID,SUNNY,20,30,8.6
WHEAT,HUMID,SEMI HUMID,WINDY,20,30,7.8
WHEAT,HUMID,SEMI HUMID,RAINY,20,30,0.6
WHEAT,HUMID,SEMI HUMID,NORMAL,30,40,7.9
WHEAT,HUMID,SEMI HUMID,SUNNY,30,40,9.4
WHEAT,HUMID,SEMI HUMID,WINDY,30,40,8.9
WHEAT,HUMID,SEMI HUMID,RAINY,30,40,0.8
WHEAT,HUMID,SEMI HUMID,NORMAL,40,50,8.7
WHEAT,HUMID,SEMI HUMID,SUNNY,40,50,10.5
WHEAT,HUMID,SEMI HUMID,WINDY,40,50,9.7
WHEAT,HUMID,SEMI HUMID,RAINY,40,50,0.7
WHEAT,HUMID,HUMID,NORMAL,10,20,4.34
WHEAT,HUMID,HUMID,SUNNY,10,20,5.84
WHEAT,HUMID,HUMID,WINDY,10,20,5.34
WHEAT,HUMID,HUMID,RAINY,10,20,0.2
WHEAT,HUMID,HUMID,NORMAL,20,30,5.3
WHEAT,HUMID,HUMID,SUNNY,20,30,6.8
WHEAT,HUMID,HUMID,WINDY,20,30,6.3
WHEAT,HUMID,HUMID,RAINY,20,30,0.3
WHEAT,HUMID,HUMID,NORMAL,30,40,6.35
WHEAT,HUMID,HUMID,SUNNY,30,40,7.85
WHEAT,HUMID,HUMID,WINDY,30,40,7.35
WHEAT,HUMID,HUMID,RAINY,30,40,0.5
WHEAT,HUMID,HUMID,NORMAL,40,50,7.32
WHEAT,HUMID,HUMID,SUNNY,40,50,8.82
WHEAT,HUMID,HUMID,WINDY,40,50,8.32
WHEAT,HUMID,HUMID,RAINY,40,50,0.8
WHEAT,WET,DESERT,NORMAL,10,20,6.2
WHEAT,WET,DESERT,SUNNY,10,20,7.7
WHEAT,WET,DESERT,WINDY,10,20,7.2
WHEAT,WET,DESERT,RAINY,10,20,0.5
WHEAT,WET,DESERT,NORMAL,20,30,7.2
WHEAT,WET,DESERT,SUNNY,20,30,8.7
WHEAT,WET,DESERT,WINDY,20,30,8.2
WHEAT,WET,DESERT,RAINY,20,30,0.8
WHEAT,WET,DESERT,NORMAL,30,40,8.3
WHEAT,WET,DESERT,SUNNY,30,40,9.8
WHEAT,WET,DESERT,WINDY,30,40,9.3
WHEAT,WET,DESERT,RAINY,30,40,0.3
WHEAT,WET,DESERT,NORMAL,40,50,9.4
WHEAT,WET,DESERT,SUNNY,40,50,10.9
WHEAT,WET,DESERT,WINDY,40,50,10.4
WHEAT,WET,DESERT,RAINY,40,50,1.4
WHEAT,WET,SEMI ARID,NORMAL,10,20,5.3
WHEAT,WET,SEMI ARID,SUNNY,10,20,6.8
WHEAT,WET,SEMI ARID,WINDY,10,20,6.3
WHEAT,WET,SEMI ARID,RAINY,10,20,0.3
WHEAT,WET,SEMI ARID,NORMAL,20,30,6.25
WHEAT,WET,SEMI ARID,SUNNY,20,30,7.75
WHEAT,WET,SEMI ARID,WINDY,20,30,7.25
WHEAT,WET,SEMI ARID,RAINY,20,30,0.5
WHEAT,WET,SEMI ARID,NORMAL,30,40,7.35
WHEAT,WET,SEMI ARID,SUNNY,30,40,8.85
WHEAT,WET,SEMI ARID,WINDY,30,40,8.35
WHEAT,WET,SEMI ARID,RAINY,30,40,0.8
WHEAT,WET,SEMI ARID,NORMAL,40,50,8.34
WHEAT,WET,SEMI ARID,SUNNY,40,50,9.84
WHEAT,WET,SEMI ARID,WINDY,40,50,9.34
WHEAT,WET,SEMI ARID,RAINY,40,50,0.34
WHEAT,WET,SEMI HUMID,NORMAL,10,20,4.0
WHEAT,WET,SEMI HUMID,SUNNY,10,20,5.5
WHEAT,WET,SEMI HUMID,WINDY,10,20,5.0
WHEAT,WET,SEMI HUMID,RAINY,10,20,0.2
WHEAT,WET,SEMI HUMID,NORMAL,20,30,5.06
WHEAT,WET,SEMI HUMID,SUNNY,20,30,6.56
WHEAT,WET,SEMI HUMID,WINDY,20,30,6.06
WHEAT,WET,SEMI HUMID,RAINY,20,30,0.3
WHEAT,WET,SEMI HUMID,NORMAL,30,40,6.04
WHEAT,WET,SEMI HUMID,SUNNY,30,40,7.56
WHEAT,WET,SEMI HUMID,WINDY,30,40,7.06
WHEAT,WET,SEMI HUMID,RAINY,30,40,0.5
WHEAT,WET,SEMI HUMID,NORMAL,40,50,7.05
WHEAT,WET,SEMI HUMID,SUNNY,40,50,8.56
WHEAT,WET,SEMI HUMID,WINDY,40,50,8.05
WHEAT,WET,SEMI HUMID,RAINY,40,50,0.8
WHEAT,WET,HUMID,NORMAL,10,20,2.48
WHEAT,WET,HUMID,SUNNY,10,20,3.98
WHEAT,WET,HUMID,WINDY,10,20,3.48
WHEAT,WET,HUMID,RAINY,10,20,0.1
WHEAT,WET,HUMID,NORMAL,20,30,3.48
WHEAT,WET,HUMID,SUNNY,20,30,4.98
WHEAT,WET,HUMID,WINDY,20,30,4.48
WHEAT,WET,HUMID,RAINY,20,30,0.1
WHEAT,WET,HUMID,NORMAL,30,40,4.48
WHEAT,WET,HUMID,SUNNY,30,40,5.98
WHEAT,WET,HUMID,WINDY,30,40,5.48
WHEAT,WET,HUMID,RAINY,30,40,0.2
WHEAT,WET,HUMID,NORMAL,40,50,5.48
WHEAT,WET,HUMID,SUNNY,40,50,6.98
WHEAT,WET,HUMID,WINDY,40,50,6.48
WHEAT,WET,HUMID,RAINY,40,50,0.3
TOMATO,DRY,DESERT,NORMAL,10,20,6.12
TOMATO,DRY,DESERT,SUNNY,10,20,7.62
TOMATO,DRY,DESERT,WINDY,10,20,7.12
TOMATO,DRY,DESERT,RAINY,10,20,0.5
TOMATO,DRY,DESERT,NORMAL,20,30,7.12
TOMATO,DRY,DESERT,SUNNY,20,30,8.62
TOMATO,DRY,DESERT,WINDY,20,30,8.12
TOMATO,DRY,DESERT,RAINY,20,30,0.8
TOMATO,DRY,DESERT,NORMAL,30,40,8.12
TOMATO,DRY,DESERT,SUNNY,30,40,9.62
TOMATO,DRY,DESERT,WINDY,30,40,9.12
TOMATO,DRY,DESERT,RAINY,30,40,0.12
TOMATO,DRY,DESERT,NORMAL,40,50,9.12
TOMATO,DRY,DESERT,SUNNY,40,50,10.62
TOMATO,DRY,DESERT,WINDY,40,50,10.12
TOMATO,DRY,DESERT,RAINY,40,50,1.12
TOMATO,DRY,SEMI ARID,NORMAL,10,20,5.58
TOMATO,DRY,SEMI ARID,SUNNY,10,20,7.08
TOMATO,DRY,SEMI ARID,WINDY,10,20,6.58
TOMATO,DRY,SEMI ARID,RAINY,10,20,0.3
TOMATO,DRY,SEMI ARID,NORMAL,20,30,6.58
TOMATO,DRY,SEMI ARID,SUNNY,20,30,8.08
TOMATO,DRY,SEMI ARID,WINDY,20,30,7.58
TOMATO,DRY,SEMI ARID,RAINY,20,30,0.5
TOMATO,DRY,SEMI ARID,NORMAL,30,40,7.58
TOMATO,DRY,SEMI ARID,SUNNY,30,40,9.08
TOMATO,DRY,SEMI ARID,WINDY,30,40,8.58
TOMATO,DRY,SEMI ARID,RAINY,30,40,0.8
TOMATO,DRY,SEMI ARID,NORMAL,40,50,8.58
TOMATO,DRY,SEMI ARID,SUNNY,40,50,10.08
TOMATO,DRY,SEMI ARID,WINDY,40,50,9.58
TOMATO,DRY,SEMI ARID,RAINY,40,50,0.58
TOMATO,DRY,SEMI HUMID,NORMAL,10,20,4.86
TOMATO,DRY,SEMI HUMID,SUNNY,10,20,6.36
TOMATO,DRY,SEMI HUMID,WINDY,10,20,5.86
TOMATO,DRY,SEMI HUMID,RAINY,10,20,0.2
TOMATO,DRY,SEMI HUMID,NORMAL,20,30,5.86
TOMATO,DRY,SEMI HUMID,SUNNY,20,30,7.36
TOMATO,DRY,SEMI HUMID,WINDY,20,30,6.86
TOMATO,DRY,SEMI HUMID,RAINY,20,30,0.3
TOMATO,DRY,SEMI HUMID,NORMAL,30,40,6.86
TOMATO,DRY,SEMI HUMID,SUNNY,30,40,8.36
TOMATO,DRY,SEMI HUMID,WINDY,30,40,7.86
TOMATO,DRY,SEMI HUMID,RAINY,30,40,0.5
TOMATO,DRY,SEMI HUMID,NORMAL,40,50,7.86
TOMATO,DRY,SEMI HUMID,SUNNY,40,50,9.36
TOMATO,DRY,SEMI HUMID,WINDY,40,50,8.86
TOMATO,DRY,SEMI HUMID,RAINY,40,50,0.8
TOMATO,DRY,HUMID,NORMAL,10,20,3.96
TOMATO,DRY,HUMID,SUNNY,10,20,5.46
TOMATO,DRY,HUMID,WINDY,10,20,4.96
TOMATO,DRY,HUMID,RAINY,10,20,0.1
TOMATO,DRY,HUMID,NORMAL,20,30,4.96
TOMATO,DRY,HUMID,SUNNY,20,30,6.46
TOMATO,DRY,HUMID,WINDY,20,30,5.96
TOMATO,DRY,HUMID,RAINY,20,30,0.2
TOMATO,DRY,HUMID,NORMAL,30,40,5.96
TOMATO,DRY,HUMID,SUNNY,30,40,7.46
TOMATO,DRY,HUMID,WINDY,30,40,6.96
TOMATO,DRY,HUMID,RAINY,30,40,0.3
TOMATO,DRY,HUMID,NORMAL,40,50,6.96
TOMATO,DRY,HUMID,SUNNY,40,50,8.46
TOMATO,DRY,HUMID,WINDY,40,50,7.96
TOMATO,DRY,HUMID,RAINY,40,50,0.5
TOMATO,HUMID,DESERT,NORMAL,10,20,4.68
TOMATO,HUMID,DESERT,SUNNY,10,20,6.18
TOMATO,HUMID,DESERT,WINDY,10,20,5.68
TOMATO,HUMID,DESERT,RAINY,10,20,0.2
TOMATO,HUMID,DESERT,NORMAL,20,30,5.68
TOMATO,HUMID,DESERT,SUNNY,20,30,7.18
TOMATO,HUMID,DESERT,WINDY,20,30,6.68
TOMATO,HUMID,DESERT,RAINY,20,30,0.3
TOMATO,HUMID,DESERT,NORMAL,30,40,6.68
TOMATO,HUMID,DESERT,SUNNY,30,40,8.18
TOMATO,HUMID,DESERT,WINDY,30,40,7.68
TOMATO,HUMID,DESERT,RAINY,30,40,0.5
TOMATO,HUMID,DESERT,NORMAL,40,50,7.68
TOMATO,HUMID,DESERT,SUNNY,40,50,9.18
TOMATO,HUMID,DESERT,WINDY,40,50,8.68
TOMATO,HUMID,DESERT,RAINY,40,50,0.8
TOMATO,HUMID,SEMI ARID,NORMAL,10,20,4.14
